"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 10:38:50 CST 2023","Tue Jan 17 10:38:50 CST 2023","136","","get_excel","","","","登录",""
"passed","Tue Jan 17 10:38:50 CST 2023","Tue Jan 17 10:38:50 CST 2023","101","","get_excel","","","","加入购入车",""
